id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
9297300055,1/24/2015,650000.0,4,3.0,2950,5000,2.0,NO,GOOD,Average,9 Better,1980,970.0,1979,0.0,98126,47.5714,-122.375,2140,4000
1875500060,7/31/2014,395000.0,3,2.0,1890,14040,2.0,NO,NONE,Average,7 Average,1890,0.0,1994,0.0,98019,47.7277,-121.962,1890,14018
6865200140,5/29/2014,485000.0,4,1.0,1600,4300,1.5,NO,NONE,Good,7 Average,1600,0.0,1916,0.0,98103,47.6648,-122.34299999999999,1610,4300
16000397,12/5/2014,189000.0,2,1.0,1200,9850,1.0,NO,NONE,Good,7 Average,1200,?,1921,0.0,98002,47.3089,-122.21,1060,5095
7983200060,4/24/2015,230000.0,3,1.0,1250,9774,1.0,NO,NONE,Good,7 Average,1250,0.0,1969,0.0,98003,47.3343,-122.306,1280,8850
6300500875,5/14/2014,385000.0,4,1.75,1620,4980,1.0,NO,NONE,Good,7 Average,860,760.0,1947,0.0,98133,47.7025,-122.34100000000001,1400,4980
2524049179,8/26/2014,2000000.0,3,2.75,3050,44867,1.0,NO,EXCELLENT,Average,9 Better,2330,720.0,1968,0.0,98040,47.5316,-122.23299999999999,4110,20336
7137970340,7/3/2014,285000.0,5,2.5,2270,6300,2.0,NO,NONE,Average,8 Good,2270,0.0,1995,0.0,98092,47.3266,-122.169,2240,7005
8091400200,5/16/2014,252700.0,2,1.5,1070,9643,1.0,,NONE,Average,7 Average,1070,0.0,1985,,98030,47.3533,-122.166,1220,8386
3814700200,11/20/2014,329000.0,3,2.25,2450,6500,2.0,NO,NONE,Good,8 Good,2450,0.0,1985,0.0,98030,47.3739,-122.17200000000001,2200,6865
1202000200,11/3/2014,233000.0,3,2.0,1710,4697,1.5,NO,NONE,Very Good,6 Low Average,1710,0.0,1941,0.0,98002,47.3048,-122.21799999999999,1030,4705
1794500383,6/26/2014,937000.0,3,1.75,2450,2691,2.0,NO,NONE,Average,8 Good,1750,700.0,1915,,98119,47.6386,-122.36,1760,3573
3303700376,12/1/2014,667000.0,3,1.0,1400,1581,1.5,NO,NONE,Very Good,8 Good,1400,0.0,1909,0.0,98112,47.6221,-122.314,1860,3861
5101402488,6/24/2014,438000.0,3,1.75,1520,6380,1.0,NO,NONE,Average,7 Average,790,730.0,1948,,98115,47.695,-122.304,1520,6235
1873100390,3/2/2015,719000.0,4,2.5,2570,7173,2.0,NO,NONE,Average,8 Good,2570,0.0,2005,0.0,98052,47.7073,-122.11,2630,6026
8562750320,11/10/2014,580500.0,3,2.5,2320,3980,2.0,NO,NONE,Average,8 Good,2320,0.0,2003,0.0,98027,47.5391,-122.07,2580,3980
2426039314,12/1/2014,280000.0,2,1.5,1190,1265,3.0,NO,NONE,Average,7 Average,1190,0.0,2005,0.0,98133,47.7274,-122.35700000000001,1390,1756
461000390,6/24/2014,687500.0,4,1.75,2330,5000,1.5,NO,NONE,Good,7 Average,1510,820.0,1929,0.0,98117,47.6823,-122.368,1460,5000
7589200193,11/10/2014,535000.0,3,1.0,1090,3000,1.5,NO,NONE,Good,8 Good,1090,0.0,1929,0.0,98117,47.6889,-122.375,1570,5080
7955080270,12/3/2014,322500.0,4,2.75,2060,6659,1.0,NO,NONE,Average,7 Average,1280,780.0,1981,0.0,98058,47.4276,-122.15700000000001,2020,8720
9547205180,6/13/2014,696000.0,3,2.5,2300,3060,1.5,NO,NONE,Average,8 Good,1510,790.0,1930,2002.0,98115,47.6827,-122.31,1590,3264
9435300030,5/28/2014,550000.0,4,1.0,1660,34848,1.0,NO,NONE,Poor,5 Fair,930,730.0,1933,0.0,98052,47.6621,-122.132,2160,11467
2768000400,12/30/2014,640000.0,4,2.0,2360,6000,2.0,NO,NONE,Good,8 Good,2360,0.0,1904,0.0,98107,47.6702,-122.36200000000001,1730,4700
7895500070,2/13/2015,240000.0,4,1.0,1220,8075,1.0,NO,NONE,Fair,7 Average,890,330.0,1969,0.0,98001,47.3341,-122.28200000000001,1290,7800
2078500320,6/20/2014,605000.0,4,2.5,2620,7553,2.0,NO,NONE,Average,8 Good,2620,0.0,1996,0.0,98056,47.5301,-122.18,2620,11884
5547700270,7/15/2014,625000.0,4,2.5,2570,5520,2.0,,NONE,Average,9 Better,2570,0.0,2000,,98074,47.6145,-122.027,2470,5669
7766200013,8/11/2014,775000.0,4,2.25,4220,24186,1.0,NO,NONE,Average,8 Good,2600,1620.0,1984,0.0,98166,47.445,-122.34700000000001,2410,30617
7203220400,7/7/2014,861990.0,5,2.75,3595,5639,2.0,NO,NONE,Average,9 Better,3595,?,2014,0.0,98053,47.6848,-122.016,3625,5639
9270200160,10/28/2014,685000.0,3,1.0,1570,2280,2.0,NO,NONE,Average,7 Average,1570,0.0,1922,0.0,98119,47.6413,-122.36399999999999,1580,2640
1432701230,7/29/2014,309000.0,3,1.0,1280,9656,1.0,NO,NONE,Good,6 Low Average,920,360.0,1959,0.0,98058,47.4485,-122.175,1340,8808
8035350320,7/18/2014,488000.0,3,2.5,3160,13603,2.0,NO,NONE,Average,8 Good,3160,0.0,2003,,98019,47.7443,-121.977,3050,9232
8945200830,3/25/2015,210490.0,3,1.0,990,8528,1.0,NO,NONE,Average,6 Low Average,990,0.0,1966,0.0,98023,47.3066,-122.37100000000001,1228,8840
4178300310,7/16/2014,785000.0,4,2.5,2290,13416,2.0,NO,NONE,Good,9 Better,2290,0.0,1981,0.0,98007,47.6194,-122.15100000000001,2680,13685
9215400105,4/28/2015,450000.0,3,1.75,1250,5963,1.0,NO,NONE,Good,7 Average,1250,0.0,1953,0.0,98115,47.6796,-122.301,970,5100
822039084,3/11/2015,1350000.0,3,2.5,2753,65005,1.0,YES,AVERAGE,Very Good,9 Better,2165,588.0,1953,0.0,98070,47.4041,-122.45100000000001,2680,72513
5245600105,9/16/2014,228000.0,3,1.0,1190,9199,1.0,NO,NONE,Average,7 Average,1190,0.0,1955,0.0,98148,47.4258,-122.322,1190,9364
7231300125,2/17/2015,345000.0,5,2.5,3150,9134,1.0,NO,NONE,Good,8 Good,1640,1510.0,1966,0.0,98056,47.4934,-122.189,1990,9133
7518505990,12/31/2014,600000.0,3,1.75,1410,4080,1.0,NO,NONE,Good,7 Average,1000,410.0,1950,,98117,47.6808,-122.384,1410,4080
3626039271,2/5/2015,585000.0,2,1.75,1980,8550,1.0,NO,NONE,Average,7 Average,990,990.0,1981,0.0,98117,47.6989,-122.369,1480,6738
4217401195,3/3/2015,920000.0,5,2.25,2730,6000,1.5,NO,NONE,Average,8 Good,2130,600.0,1927,0.0,98105,47.6571,-122.281,2730,6000
9822700295,5/12/2014,885000.0,4,2.5,2830,5000,2.0,,NONE,Average,9 Better,2830,0.0,1995,0.0,98105,47.6597,-122.29,1950,5000
9478500640,8/19/2014,292500.0,4,2.5,2250,4495,2.0,NO,NONE,Average,7 Average,2250,0.0,2008,,98042,47.3663,-122.11399999999999,2250,4500
2799800710,4/7/2015,301000.0,3,2.5,2420,4750,2.0,NO,NONE,Average,8 Good,2420,0.0,2003,0.0,98042,47.3663,-122.12200000000001,2690,4750
7922800400,8/27/2014,951000.0,5,3.25,3250,14342,2.0,NO,EXCELLENT,Good,8 Good,3250,0.0,1968,,98008,47.588,-122.116,2960,11044
8079040320,2/23/2015,430000.0,4,3.0,1850,9976,2.0,NO,NONE,Average,8 Good,1850,0.0,1991,0.0,98059,47.5059,-122.149,2270,8542
1516000055,12/10/2014,650000.0,3,2.25,2150,21235,1.0,,GOOD,Good,8 Good,1590,560.0,1959,0.0,98166,47.4336,-122.339,2570,18900
9558200045,8/28/2014,289000.0,3,1.75,1260,8400,1.0,NO,NONE,Average,7 Average,1260,0.0,1954,0.0,98148,47.4366,-122.335,1290,8750
5072410070,10/21/2014,505000.0,3,1.75,2519,8690,2.0,,NONE,Very Good,8 Good,2519,0.0,1973,0.0,98166,47.4428,-122.344,2500,9500
9528102996,12/7/2014,549000.0,3,1.75,1540,1044,3.0,NO,NONE,Average,8 Good,1540,0.0,2014,0.0,98115,47.6765,-122.32,1580,3090
1189001180,6/3/2014,425000.0,3,2.25,1660,6000,1.0,NO,NONE,Average,7 Average,1110,550.0,1979,0.0,98122,47.6113,-122.29700000000001,1440,4080
3253500160,11/20/2014,317625.0,3,2.75,2770,3809,1.5,NO,NONE,Very Good,7 Average,1770,1000.0,1925,0.0,98144,47.5747,-122.304,1440,4000
3394100030,9/9/2014,975000.0,4,2.5,2720,11049,2.0,,NONE,Average,10 Very Good,2720,0.0,1989,0.0,98004,47.5815,-122.19200000000001,2750,11049
3717000160,10/9/2014,287000.0,4,2.5,2240,4648,2.0,NO,NONE,Average,7 Average,2240,0.0,2005,0.0,98001,47.3378,-122.257,2221,4557
1274500060,8/25/2014,204000.0,3,1.0,1000,12070,1.0,NO,NONE,Good,7 Average,1000,0.0,1968,,98042,47.3621,-122.11,1010,12635
1802000060,6/12/2014,1330000.0,5,2.25,3200,20158,1.0,NO,NONE,Average,8 Good,1600,1600.0,1965,0.0,98004,47.6303,-122.215,3390,20158
1525059190,9/12/2014,1040000.0,5,3.25,4770,50094,1.0,NO,NONE,Good,11 Excellent,3070,1700.0,1973,0.0,98005,47.6525,-122.16,3530,38917
1049000060,1/5/2015,325000.0,3,2.0,1260,5612,1.0,NO,NONE,Good,7 Average,1260,0.0,1972,0.0,98034,47.7362,-122.179,1640,4745
8820901275,6/10/2014,571000.0,4,2.0,2750,7807,1.5,NO,NONE,Very Good,7 Average,2250,500.0,1916,0.0,98125,47.7168,-122.287,1510,7807
5416510140,7/10/2014,360000.0,4,2.5,2380,5000,2.0,NO,NONE,Average,8 Good,2380,0.0,2005,,98038,47.3608,-122.036,2420,5000
3444100400,3/16/2015,349000.0,3,1.75,1790,50529,1.0,NO,NONE,Very Good,7 Average,1090,700.0,1965,0.0,98042,47.3511,-122.073,1940,50529
3276920270,11/5/2014,832500.0,4,4.0,3430,35102,2.0,NO,NONE,Good,10 Very Good,2390,1040.0,1986,0.0,98075,47.5822,-121.98700000000001,3240,35020
4036801170,10/13/2014,380000.0,4,1.75,1760,7300,1.0,NO,NONE,Average,7 Average,880,880.0,1956,,98008,47.6034,-122.125,1680,7500
2391600320,4/20/2015,480000.0,3,1.0,1040,5060,1.0,NO,NONE,Average,7 Average,1040,0.0,1941,,98116,47.5636,-122.39399999999999,890,5060
6300000287,6/9/2014,410000.0,3,1.0,1410,5060,1.0,NO,NONE,Good,7 Average,910,500.0,1956,0.0,98133,47.7073,-122.34,1130,5693
1531000030,3/23/2015,720000.0,4,2.5,3450,39683,2.0,NO,NONE,Average,10 Very Good,3450,?,2002,0.0,98010,47.342,-122.025,3350,39750
5104520400,12/2/2014,390000.0,3,2.5,2350,5100,2.0,NO,NONE,Average,8 Good,2350,0.0,2003,0.0,98038,47.3512,-122.008,2350,5363
7437100340,12/22/2014,360000.0,4,2.5,1900,5889,2.0,NO,NONE,Average,7 Average,1900,0.0,1992,0.0,98038,47.349,-122.031,1870,6405
9418400240,10/28/2014,355000.0,2,1.0,2020,6720,1.0,NO,NONE,Average,7 Average,1010,1010.0,1948,0.0,98118,47.5474,-122.291,1720,6720
1523059105,1/28/2015,356000.0,3,1.5,1680,8712,1.0,NO,NONE,Average,8 Good,1680,0.0,1964,0.0,98059,47.4811,-122.149,1850,8797
1133000671,6/2/2014,315000.0,3,1.0,960,6634,1.0,NO,NONE,Average,6 Low Average,960,0.0,1952,0.0,98125,47.7264,-122.31,1570,7203
4232902595,11/14/2014,940000.0,3,1.5,2140,3600,2.0,NO,NONE,Average,9 Better,1900,240.0,1925,0.0,98119,47.6337,-122.365,2020,4800
2599001200,11/3/2014,305000.0,5,2.25,2660,8400,1.5,NO,NONE,Very Good,7 Average,2660,0.0,1961,0.0,98092,47.2909,-122.189,1590,8165
3342103156,6/18/2014,461000.0,3,3.25,2770,6278,2.0,,NONE,Average,9 Better,1980,790.0,2006,0.0,98056,47.5228,-122.199,1900,7349
1332700270,5/19/2014,215000.0,2,2.25,1610,2040,2.0,NO,NONE,Good,7 Average,1610,0.0,1979,,98056,47.518,-122.194,1950,2025
3869900162,9/4/2014,335000.0,2,1.75,1030,1066,2.0,NO,NONE,Average,7 Average,765,265.0,2006,,98136,47.5394,-122.387,1030,1106
2791500270,5/22/2014,243500.0,4,2.5,1980,7403,2.0,NO,NONE,Average,7 Average,1980,0.0,1988,0.0,98023,47.2897,-122.37200000000001,1980,7510
5036300431,3/11/2015,1100000.0,5,2.75,3520,6353,2.0,NO,NONE,Good,10 Very Good,3520,0.0,2001,0.0,98199,47.6506,-122.391,2520,6250
4168000060,2/26/2015,153000.0,3,1.0,1200,10500,1.0,NO,NONE,Average,7 Average,1200,0.0,1962,0.0,98023,47.321999999999996,-122.351,1350,10500
6021501535,7/25/2014,430000.0,3,1.5,1580,5000,1.0,NO,NONE,Average,8 Good,1290,290.0,1939,0.0,98117,47.687,-122.38600000000001,1570,4500
6021501535,12/23/2014,700000.0,3,1.5,1580,5000,1.0,NO,NONE,Average,8 Good,1290,290.0,1939,0.0,98117,47.687,-122.38600000000001,1570,4500
1483300570,9/8/2014,905000.0,4,2.5,3300,10250,1.0,NO,NONE,Average,7 Average,2390,910.0,1946,1991.0,98040,47.5873,-122.249,1950,6045
3422049190,3/30/2015,247500.0,3,1.75,1960,15681,1.0,NO,NONE,Average,7 Average,1960,0.0,1967,0.0,98032,47.3576,-122.277,1750,15616
1099611230,9/12/2014,199000.0,4,1.5,1160,6400,1.0,NO,NONE,Good,7 Average,1160,0.0,1975,0.0,98023,47.3036,-122.37799999999999,1160,6400
722079104,7/11/2014,314000.0,3,1.75,1810,41800,1.0,NO,NONE,Very Good,7 Average,1210,600.0,1980,0.0,98038,47.4109,-121.958,1650,135036
7338200240,5/16/2014,437500.0,3,2.5,2320,36847,2.0,NO,AVERAGE,Average,9 Better,2320,0.0,1992,0.0,98045,47.4838,-121.714,2550,35065
1952200240,6/11/2014,850830.0,3,2.5,2070,13241,1.5,NO,NONE,Very Good,9 Better,1270,800.0,1910,0.0,98102,47.6415,-122.315,2200,4500
5200100125,10/27/2014,555000.0,3,2.0,1980,3478,1.5,NO,NONE,Good,7 Average,1440,540.0,1929,0.0,98117,47.6775,-122.37200000000001,1610,3478
7214720075,12/12/2014,699950.0,3,2.25,2190,107593,2.0,NO,NONE,Good,8 Good,2190,0.0,1983,0.0,98077,47.7731,-122.08,2570,47777
2450000295,10/7/2014,1090000.0,3,2.5,2920,8113,2.0,NO,NONE,Average,8 Good,2920,0.0,1950,2010.0,98004,47.5814,-122.196,2370,8113
6197800045,9/24/2014,290000.0,3,1.0,1210,33919,1.0,NO,NONE,Average,7 Average,1210,0.0,1954,0.0,98058,47.4375,-122.184,1640,14910
1328310370,4/2/2015,375000.0,3,2.5,2340,10005,1.0,,NONE,Good,8 Good,1460,880.0,1978,,98058,47.4431,-122.133,2250,8162
546000875,5/23/2014,460000.0,3,1.0,1670,4005,1.5,NO,NONE,Good,7 Average,1170,500.0,1939,0.0,98117,47.6878,-122.38,1240,4005
3530510041,7/23/2014,188500.0,2,1.75,1240,2493,1.0,NO,NONE,Good,8 Good,1240,0.0,1985,0.0,98198,47.3813,-122.322,1270,4966
1853000400,3/5/2015,680000.0,4,2.5,3140,28037,2.0,NO,NONE,Good,10 Very Good,3140,0.0,1991,0.0,98077,47.7304,-122.08200000000001,2990,35001
3134100116,8/27/2014,470000.0,5,1.75,2030,12342,2.0,NO,NONE,Good,7 Average,2030,0.0,1942,0.0,98052,47.6417,-122.109,2500,9433
9545230140,7/25/2014,597750.0,4,2.5,2310,9624,2.0,NO,NONE,Average,8 Good,2310,0.0,1984,,98027,47.5386,-122.053,1940,9636
3362400511,3/4/2015,570000.0,3,1.75,1260,3328,1.0,NO,NONE,Very Good,6 Low Average,700,560.0,1905,0.0,98103,47.6823,-122.34899999999999,1380,3536
2525310310,9/16/2014,272500.0,3,1.75,1540,12600,1.0,NO,NONE,Good,7 Average,1160,?,1980,0.0,98038,47.3624,-122.031,1540,11656
6126500060,11/24/2014,329950.0,3,1.75,2080,5969,1.0,NO,AVERAGE,Average,7 Average,1080,1000.0,1971,0.0,98108,47.5474,-122.295,2090,5500
8961960160,10/28/2014,480000.0,4,2.5,3230,16171,2.0,NO,,Average,9 Better,2520,710.0,2001,0.0,98001,47.3183,-122.25299999999999,2640,8517
3626039325,11/21/2014,740500.0,3,3.5,4380,6350,2.0,NO,NONE,Average,8 Good,2780,?,1900,,98117,47.6981,-122.368,1830,6350
3362400431,6/26/2014,518500.0,3,3.5,1590,1102,3.0,NO,NONE,Average,8 Good,1590,0.0,2010,0.0,98103,47.6824,-122.34700000000001,1620,3166
4060000240,6/23/2014,205425.0,2,1.0,880,6780,1.0,NO,NONE,Good,6 Low Average,880,0.0,1945,0.0,98178,47.5009,-122.24799999999999,1190,6780
3454800060,1/8/2015,171800.0,4,2.0,1570,9600,1.0,,NONE,Average,6 Low Average,1570,0.0,1950,0.0,98168,47.4965,-122.303,1880,9000
1695900060,5/11/2015,535000.0,4,1.0,1610,2982,1.5,NO,NONE,Good,7 Average,1610,0.0,1925,0.0,98144,47.586999999999996,-122.294,1610,4040
7278700070,1/2/2015,660000.0,3,2.5,2400,6474,1.0,NO,AVERAGE,Average,8 Good,1560,840.0,1964,0.0,98177,47.7728,-122.38600000000001,2340,10856
6675500070,11/19/2014,391500.0,3,2.0,1450,9132,1.0,NO,NONE,Average,7 Average,1450,0.0,1987,,98034,47.7288,-122.226,1580,9104
3626039187,4/6/2015,395000.0,2,1.0,770,6000,1.0,NO,NONE,Average,6 Low Average,770,0.0,1953,0.0,98117,47.6999,-122.36399999999999,1710,6000
3524049083,11/4/2014,445000.0,4,1.75,2100,4400,1.5,,NONE,Very Good,7 Average,1720,380.0,1924,0.0,98118,47.5299,-122.266,1850,4400
3275860240,6/18/2014,770000.0,3,2.25,2910,10204,2.0,NO,NONE,Average,9 Better,2910,0.0,1990,0.0,98052,47.6897,-122.098,2700,13992
4389200955,3/2/2015,1450000.0,4,2.75,2750,17789,1.5,NO,NONE,Average,8 Good,1980,770.0,1914,1992.0,98004,47.6141,-122.212,3060,11275
4058801670,7/17/2014,445000.0,3,2.25,2100,8201,1.0,,AVERAGE,Average,8 Good,1620,480.0,1967,0.0,98178,47.5091,-122.244,2660,8712
8732020310,7/17/2014,260000.0,4,2.25,2160,8811,1.0,NO,NONE,Average,8 Good,1360,800.0,1978,,98023,47.3129,-122.39,2090,8400
2331300505,6/13/2014,822500.0,5,3.5,2320,4960,2.0,NO,NONE,Very Good,7 Average,1720,600.0,1926,,98103,47.6763,-122.352,1700,4960
7853210060,4/6/2015,430000.0,4,2.5,2070,4310,2.0,NO,,Average,7 Average,2070,0.0,2004,0.0,98065,47.5319,-121.85,1970,3748
3668000070,1/5/2015,212000.0,3,1.75,1060,7875,1.0,NO,NONE,Good,7 Average,1060,0.0,1986,0.0,98092,47.2761,-122.152,1420,7680
9545240070,4/28/2015,660500.0,4,2.25,2010,9603,1.0,NO,NONE,Average,8 Good,1440,570.0,1986,0.0,98027,47.5343,-122.054,2060,9793
1243100136,6/12/2014,784000.0,3,3.5,3950,111078,1.5,NO,NONE,Average,9 Better,2460,1490.0,1989,0.0,98052,47.696999999999996,-122.072,2480,88500
8929000270,5/12/2014,453246.0,3,2.5,2010,2287,2.0,NO,NONE,Average,8 Good,1390,620.0,2014,0.0,98029,47.5517,-121.99799999999999,1690,1662
2767602356,1/26/2015,675000.0,4,3.5,2140,2278,3.0,NO,NONE,Average,9 Better,2140,0.0,2005,0.0,98107,47.6734,-122.38,1540,2285
921049315,8/13/2014,199000.0,3,1.75,1320,17390,1.0,NO,NONE,Good,7 Average,1320,0.0,1956,,98003,47.3257,-122.296,1550,19265
3655000070,8/5/2014,220000.0,4,1.75,2020,7840,1.0,NO,NONE,Average,7 Average,1010,1010.0,1968,0.0,98003,47.3309,-122.29899999999999,1750,8140
4027700812,5/29/2014,452000.0,4,2.25,2590,10002,1.0,NO,NONE,Good,8 Good,1340,1250.0,1968,,98028,47.7689,-122.266,1550,10436
3992700335,7/7/2014,382500.0,2,1.0,1190,4440,1.0,NO,NONE,Average,6 Low Average,1190,0.0,1981,0.0,98125,47.7135,-122.287,1060,5715
2767603505,5/7/2014,519950.0,3,2.25,1170,1249,3.0,NO,NONE,Average,8 Good,1170,0.0,2014,,98107,47.6722,-122.381,1350,1310
4232901525,6/27/2014,665000.0,2,1.0,1110,3200,1.0,NO,NONE,Average,7 Average,1110,0.0,1925,0.0,98119,47.6338,-122.35799999999999,1170,3600
1777500060,7/8/2014,527700.0,5,2.5,2820,9375,1.0,NO,NONE,Good,8 Good,1550,1270.0,1968,,98006,47.5707,-122.12799999999999,2820,9375
1432900240,5/8/2015,205000.0,3,1.0,1610,8579,1.0,NO,NONE,Good,7 Average,1010,600.0,1962,0.0,98058,47.4563,-122.171,1610,8579
6140100875,4/15/2015,420000.0,3,1.0,1060,8097,1.0,NO,NONE,Good,7 Average,940,120.0,1923,,98133,47.7144,-122.351,1560,7940
6071600370,2/27/2015,500000.0,4,2.25,2030,8517,1.0,NO,NONE,Good,8 Good,1380,650.0,1961,0.0,98006,47.5495,-122.17399999999999,2230,8824
1526069017,12/3/2014,921500.0,4,2.5,3670,315374,2.0,NO,NONE,Good,9 Better,3670,0.0,1994,0.0,98077,47.7421,-122.02600000000001,2840,87991
809001525,6/25/2014,890000.0,4,1.0,2550,4000,2.0,NO,NONE,Average,8 Good,2370,180.0,1905,0.0,98109,47.6354,-122.353,2200,4000
3224079105,8/6/2014,430000.0,2,2.5,2420,60984,2.0,NO,NONE,Average,7 Average,2420,0.0,2007,0.0,98027,47.5262,-121.943,1940,193842
8075400570,10/30/2014,258000.0,5,2.0,2260,12500,1.0,NO,NONE,Good,8 Good,1130,1130.0,1960,0.0,98032,47.3887,-122.286,1360,18000
1994200024,11/4/2014,511000.0,3,1.0,1430,3455,1.0,NO,NONE,Average,7 Average,980,450.0,1947,0.0,98103,47.6873,-122.336,1450,4599
3362900810,8/20/2014,532170.0,3,2.0,1360,3090,2.0,NO,NONE,Average,8 Good,1360,0.0,1990,0.0,98103,47.6838,-122.353,1500,3090
1324300398,4/9/2015,560000.0,3,1.0,1110,5000,1.5,NO,NONE,Average,7 Average,1110,0.0,1947,0.0,98107,47.655,-122.359,1420,5000
537000445,3/31/2015,282950.0,3,1.0,1250,8200,1.0,,NONE,Good,7 Average,1250,0.0,1954,0.0,98003,47.3255,-122.304,1680,8633
7855801670,4/1/2015,2250000.0,4,3.25,5180,19850,2.0,NO,GOOD,Average,12 Luxury,3540,1640.0,2006,0.0,98006,47.562,-122.162,3160,9750
7920100045,5/16/2014,350000.0,1,1.0,700,5100,1.0,NO,NONE,Average,7 Average,700,0.0,1942,0.0,98115,47.678999999999995,-122.3,1010,5100
8960000030,7/28/2014,215000.0,3,1.0,1180,7669,1.0,NO,NONE,Good,7 Average,1180,0.0,1967,0.0,98058,47.4479,-122.176,1190,7669
6388930390,11/20/2014,650000.0,5,3.5,3960,25245,2.0,NO,NONE,Average,9 Better,2500,1460.0,1996,0.0,98056,47.525,-122.17200000000001,2640,13675
8731900200,8/7/2014,320000.0,4,2.75,2640,7500,1.0,NO,NONE,Average,8 Good,1620,1020.0,1967,0.0,98023,47.3135,-122.369,1980,7875
8029200135,11/13/2014,247000.0,3,2.0,1270,7198,1.5,NO,NONE,Average,7 Average,1270,0.0,1916,2013.0,98022,47.2086,-121.99600000000001,1160,7198
1081200350,10/3/2014,320000.0,4,1.75,1760,11180,1.0,NO,NONE,Good,8 Good,1760,0.0,1968,0.0,98059,47.4715,-122.118,1730,11180
84000105,5/7/2014,255000.0,5,2.25,2060,8632,1.0,NO,NONE,Average,7 Average,1030,1030.0,1962,0.0,98146,47.4877,-122.335,1010,11680
3756500060,3/9/2015,438000.0,3,1.75,1780,9660,1.0,NO,NONE,Average,7 Average,1780,0.0,1962,0.0,98034,47.7171,-122.193,1200,9660
7215720160,3/4/2015,900000.0,3,2.5,3400,16603,2.0,NO,NONE,Average,10 Very Good,3400,0.0,2000,0.0,98075,47.6012,-122.023,3400,12601
3574800520,6/20/2014,441000.0,3,2.75,1910,7280,1.0,NO,NONE,Average,7 Average,1160,750.0,1979,0.0,98034,47.7319,-122.22399999999999,1710,8152
2617300160,8/12/2014,420000.0,3,2.0,2020,38332,1.0,NO,NONE,Good,7 Average,1010,1010.0,1975,0.0,98027,47.4582,-122.023,2110,36590
2558660270,12/8/2014,370000.0,3,1.75,1580,7000,1.0,NO,NONE,Average,7 Average,1180,400.0,1976,0.0,98034,47.7209,-122.16799999999999,1640,7500
2009000370,2/19/2015,269950.0,2,1.75,1340,7250,1.0,NO,NONE,Very Good,5 Fair,700,640.0,1949,0.0,98198,47.408,-122.32700000000001,1830,9750
1836980160,3/24/2015,807100.0,4,2.5,2680,4499,2.0,NO,NONE,Average,9 Better,2680,0.0,1999,0.0,98006,47.565,-122.125,2920,4500
